LOINC #,Short Name,Long Common Name,CLASS,Rank
8169-5,THC Mec Ql Scn,Tetrahydrocannabinol [Presence] in Meconium by Screen method,DRUG/TOX,1122
22663-9,Estrone SerPl-mCnc,Estrone (E1) [Moles/volume] in Serum or Plasma,Chem,1123
17849-1,Retics/100 RBC NFr Auto,Reticulocytes/100 erythrocytes in Blood by Automated count,HEM/BC,1124
8216-4,Opiates Mec Ql Scn,Opiates [Presence] in Meconium by Screen method,DRUG/TOX,1125
27816-8,vWF Ag Act/Nor PPP Imm,von Willebrand factor (vWf) Ag actual/normal in Platelet poor plasma by Immunologic method,COAG,1126
8116-6,CD19 Cells # Bld,CD19 cells [#/volume] in Blood,CELLMARK,1127
7798-2,Smudge Cells Bld Ql Smear,Smudge cells [Presence] in Blood by Light microscopy,HEM/BC,1128
9795-6,Compn Stone,Composition in Stone,PATH,1129
5390-0,T gondii IgM Ser EIA-aCnc,Toxoplasma gondii IgM Ab [Units/volume] in Serum by Immunoassay,MICRO,1130
32218-0,cCP Ab Ser EIA-aCnc,Cyclic citrullinated peptide Ab [Units/volume] in Serum by Immunoassay,SERO,1131
46266-3,Myeloperoxidase Ab Ser EIA-aCnc,Myeloperoxidase Ab [Units/volume] in Serum by Immunoassay,SERO,1132
20479-2,MeV IgG Ser Ql,Measles virus IgG Ab [Presence] in Serum,MICRO,1133
35275-7,MeV IgG Ser Ql EIA,Measles virus IgG Ab [Presence] in Serum by Immunoassay,MICRO,1134
5781-0,Crystals Snv Micro,Crystals [type] in Synovial fluid by Light microscopy,HEM/BC,1135
26043-0,HLA-B27 Ql PCR,HLA-B27 [Presence] by Probe & target amplification method,HLA,1136
16136-4,B2 Glycoprot1 IgM Ser-aCnc,Beta 2 glycoprotein 1 IgM Ab [Units/volume] in Serum,SERO,1137
44449-7,B2 Glycoprot1 IgM Ser EIA-aCnc,Beta 2 glycoprotein 1 IgM Ab [Units/volume] in Serum by Immunoassay,SERO,1138
19296-3,Opiates Tested Ur Scn,Opiates tested for in Urine by Screen method Nominal,DRUG/TOX,1139
14115-0,Collagen NTx/Creat Ur-sRto,Collagen crosslinked N-telopeptide/Creatinine [Molar ratio] in Urine,Chem,1140
14761-1,Glucose 2H p meal SerPl-mCnc,Glucose [Moles/volume] in Serum or Plasma --2 hours post meal,CHAL,1141
5290-2,VDRL CSF Ql,Reagin Ab [Presence] in Cerebral spinal fluid by VDRL,MICRO,1142
5817-2,Urate Cry UrnS Ql Micro,Urate crystals [Presence] in Urine sediment by Light microscopy,UA,1143
46267-1,Proteinase3 Ab Ser EIA-aCnc,Proteinase 3 Ab [Units/volume] in Serum by Immunoassay,SERO,1144
2270-7,Fat Stl Ql,Fat [Presence] in Stool,Chem,1145
6278-6,White Ash IgE Qn,White Ash IgE Ab [Units/volume] in Serum,Allergy,1146
7369-2,Per rye grass IgE Qn,Perennial rye grass IgE Ab [Units/volume] in Serum,Allergy,1147
8091-1,ENA RNP Ab Ser Ql,Ribonucleoprotein extractable nuclear Ab [Presence] in Serum,SERO,1148
41222-1,Yeast Fld Ql Micro,Yeast [Presence] in Body fluid by Light microscopy,MICRO,1149
38505-4,Thyroglob Recovery MFr SerPl,Thyroglobulin recovery in Serum or Plasma,Chem,1150
16135-6,B2 Glycoprot1 IgG Ser-aCnc,Beta 2 glycoprotein 1 IgG Ab [Units/volume] in Serum,SERO,1151
44448-9,B2 Glycoprot1 IgG Ser EIA-aCnc,Beta 2 glycoprotein 1 IgG Ab [Units/volume] in Serum by Immunoassay,SERO,1152
6076-4,Clam IgE Qn,Clam IgE Ab [Units/volume] in Serum,Allergy,1153
593-4,Legionella XXX Cult,Legionella sp identified in Unspecified specimen by Organism specific culture,MICRO,1154
33437-5,pO2 BldC TcO2,Oxygen [Partial pressure] in Capillary blood by Transcutaneous O2 monitor,Chem,1155
48683-7,Gp B Strep DNA XXX Ql PCR,Streptococcus agalactiae DNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,1156
20574-0,H capsul Yst Ab Titr Ser CF,Histoplasma capsulatum yeast phase Ab [Titer] in Serum by Complement fixation,MICRO,1157
49539-0,CMV IgM Ser Ql IF,Cytomegalovirus IgM Ab [Presence] in Serum by Immunofluorescence,MICRO,1158
33721-2,,Bone marrow Pathology biopsy report,ATTACH.CLINRPT,1159
5127-6,CMV IgM Titr Ser IF,Cytomegalovirus IgM Ab [Titer] in Serum by Immunofluorescence,MICRO,1160
33773-3,Karyotyp Amn,Karyotype [Identifier] in Amniotic fluid Nominal,MOLPATH,1161
49051-6,GA (weeks),Gestational age in weeks,OB.US,1162
7789-1,Acanthocytes Bld Ql Smear,Acanthocytes [Presence] in Blood by Light microscopy,HEM/BC,1163
8338-6,Weight ante partum Measured,Body weight Measured --ante partum,BDYWGT.MOLEC,1164
5117-7,Cryoglob Ser Ql,Cryoglobulin [Presence] in Serum,Chem,1165
2752-4,pH Smn,pH of Semen,Chem,1166
15359-3,Screen dRVVT/normal,dRVVT actual/?normal (normalized LA screen),COAG,1167
2077-6,Chloride Sweat-sCnc,Chloride [Moles/volume] in Sweat,Chem,1168
41499-5,L pneumo1 Ag Ur Ql EIA,Legionella pneumophila 1 Ag [Presence] in Urine by Immunoassay,MICRO,1169
3141-9,Weight Measured,Body weight Measured,BDYWGT.ATOM,1170
5348-8,ENA Scl70 Ab Ser Ql EIA,SCL-70 extractable nuclear Ab [Presence] in Serum by Immunoassay,SERO,1171
15761-0,Sweetgum IgE RAST Ql,Sweetgum IgE Ab RAST class in Serum,Allergy,1172
2615-3,MetHgb MFr BldA,Methemoglobin/Hemoglobin.total in Arterial blood,Chem,1173
5053-4,Aspergillus Ab Titr Ser CF,Aspergillus sp Ab [Titer] in Serum by Complement fixation,MICRO,1174
33247-8,Specimen wt Sweat Qn,Weight of Sweat,SPEC,1175
5183-9,HAV Ab Ser EIA-aCnc,Hepatitis A virus Ab [Units/volume] in Serum by Immunoassay,MICRO,1176
29893-5,HIV1 Ab Ser Ql EIA,HIV 1 Ab [Presence] in Serum by Immunoassay,MICRO,1177
20465-1,HCG MoM SerPl,Choriogonadotropin [Multiple of the median] in Serum or Plasma,Chem,1178
20466-9,u Estriol MoM SerPl,Estriol (E3).unconjugated [Multiple of the median] in Serum or Plasma,Chem,1179
38404-0,CFTR Mut Anal Bld/T,CFTR gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative,MOLPATH.MUT,1180
27923-2,Ubiquinone10 SerPl-mCnc,Ubiquinone 10 [Mass/volume] in Serum or Plasma,Chem,1181
26512-4,Neutrophils NFr CSF,Neutrophils/100 leukocytes in Cerebral spinal fluid,HEM/BC,1182
48039-2,Fibronectin Fetal XXX Ql,Fibronectin.fetal [Presence] in Unspecified specimen,Chem,1183
14665-4,Copper SerPl-mCnc,Copper [Moles/volume] in Serum or Plasma,DRUG/TOX,1184
5880-0,RV Ag Stl Ql EIA,Rotavirus Ag [Presence] in Stool by Immunoassay,MICRO,1185
15083-9,Normetanephrine 24H Ur-mRate,Normetanephrine [Moles/time] in 24 hour Urine,Chem,1186
1924-0,Base deficit BldV-sCnc,Base deficit in Venous blood,Chem,1187
49573-9,HIV Gentyp Islt,HIV genotype [Susceptibility] in Isolate by Genotype method Narrative,ABXBACT,1188
15191-0,LA Nt dPL PPP Ql,Lupus anticoagulant neutralization dilute phospholipid [Presence] in Platelet poor plasma,COAG,1189
5356-1,ENA SM Ab Ser Ql EIA,Smith extractable nuclear Ab [Presence] in Serum by Immunoassay,SERO,1190
23761-0,Neutrophils NFr Bld Manual,Neutrophils/100 leukocytes in Blood by Manual count,HEM/BC,1191
5297-7,Rheumatoid fact Ser Ql LA,Rheumatoid factor [Presence] in Serum by Latex agglutination,SERO,1192
5301-7,ENA RNP Ab Ser Ql EIA,Ribonucleoprotein extractable nuclear Ab [Presence] in Serum by Immunoassay,SERO,1193
9783-2,E chaffeensis IgG Titr Ser,Ehrlichia chaffeensis IgG Ab [Titer] in Serum,MICRO,1194
25156-1,Eosinophil UrnS Ql Micro,Eosinophils [Presence] in Urine sediment by Light microscopy,UA,1195
19839-0,Breaths.spontaneous on vent,Breath rate spontaneous --on ventilator,PULM,1196
13539-2,Phosphate Ur-mCnc,Phosphate [Moles/volume] in Urine,Chem,1197
13988-1,B-Globulin 24H MFr Ur Elph,Beta globulin/Protein.total in 24 hour Urine by Electrophoresis,Chem,1198
4621-9,Hgb S Bld Ql,Hemoglobin S [Presence] in Blood,HEM/BC,1199
26471-3,WBC Other NFr Bld,Leukocytes other/100 leukocytes in Blood,HEM/BC,1200
46082-4,FLUAV Ag Nph Ql EIA,Influenza virus A Ag [Presence] in Nasopharynx by Immunoassay,MICRO,1201
46083-2,FLUBV Ag Nph Ql EIA,Influenza virus B Ag [Presence] in Nasopharynx by Immunoassay,MICRO,1202
2357-2,G6PD RBC-cCnc,Glucose-6-Phosphate dehydrogenase [Enzymatic activity/volume] in Red Blood Cells,Chem,1203
28645-0,pCO2 BldCoV,Carbon dioxide [Partial pressure] in Venous cord blood,Chem,1204
39786-9,Vit B6 SerPl-mCnc,Pyridoxine [Moles/volume] in Serum or Plasma,Chem,1205
5809-9,Reducing Subs Ur Ql,Reducing substances [Presence] in Urine,UA,1206
28649-2,pO2 BldCoV,Oxygen [Partial pressure] in Venous cord blood,Chem,1207
6825-4,Crystals Fld Micro,Crystals [type] in Body fluid by Light microscopy,HEM/BC,1208
20458-6,RUBV IgG Ser-Imp,Rubella virus IgG Ab [interpretation] in Serum,MICRO,1209
27818-4,Prot C Act/Nor PPP Chro,Protein C actual/normal in Platelet poor plasma by Chromogenic method,COAG,1210
7691-9,Scallop IgE Qn,Scallop IgE Ab [Units/volume] in Serum,Allergy,1211
20474-3,Bacteria Tiss Bx Cult,Bacteria identified in Tissue by Biopsy culture,MICRO,1212
28641-9,HCO3 BldCoV-sCnc,Bicarbonate [Moles/volume] in Venous cord blood,Chem,1213
12234-1,Mesothl Cell NFr Fld Manual,Mesothelial cells/100 leukocytes in Body fluid by Manual count,HEM/BC,1214
23877-4,A phagocytoph IgG Titr Ser IF,Anaplasma phagocytophilum IgG Ab [Titer] in Serum by Immunofluorescence,MICRO,1215
28644-3,pCO2 BldCoA,Carbon dioxide [Partial pressure] in Arterial cord blood,Chem,1216
2956-1,Sodium 24H Ur-sRate,Sodium [Moles/time] in 24 hour Urine,Chem,1217
28648-4,pO2 BldCoA,Oxygen [Partial pressure] in Arterial cord blood,Chem,1218
14252-1,Smooth muscle Ab Ser Ql,Smooth muscle Ab [Presence] in Serum,SERO,1219
21108-6,B2 Glycoprot1 IgA Ser-aCnc,Beta 2 glycoprotein 1 IgA Ab [Units/volume] in Serum,SERO,1220
44447-1,B2 Glycoprot1 IgA Ser EIA-aCnc,Beta 2 glycoprotein 1 IgA Ab [Units/volume] in Serum by Immunoassay,SERO,1221
9784-0,E chaffeensis IgM Titr Ser,Ehrlichia chaffeensis IgM Ab [Titer] in Serum,MICRO,1222
49701-6,pH temp adj Bld,pH of Blood adjusted to patients actual temperature,Chem,1223
6891-6,Testost Bioavail MFr SerPl,Testosterone.bioavailable/Testosterone.total in Serum or Plasma,Chem,1224
11261-5,Bacteria Vag Aerobe Cult,Bacteria identified in Vaginal fluid by Aerobe culture,MICRO,1225
23878-2,A phagocytoph IgM Titr Ser IF,Anaplasma phagocytophilum IgM Ab [Titer] in Serum by Immunofluorescence,MICRO,1226
2112-1,B-HCG Preg Ur Ql,Choriogonadotropin.beta subunit (pregnancy test) [Presence] in Urine,Chem,1227
49047-4,Globulin Ur Elph-mCnc,Globulin [Mass/volume] in Urine by Electrophoresis,Chem,1228
28640-1,HCO3 BldCoA-sCnc,Bicarbonate [Moles/volume] in Arterial cord blood,Chem,1229
32319-6,Glucose 30M p 75 g Glc PO SerPl-mCnc,Glucose [Moles/volume] in Serum or Plasma --30 minutes post 75 g glucose PO,CHAL,1230
25459-9,Lead SerPl-mCnc,Lead [Moles/volume] in Serum or Plasma,DRUG/TOX,1231
57804-7,# Occ bld spec recommended Stl,Number of occult blood specimens recommended by testing kit protocol [#] in Stool,Chem,1232
32207-3,PDW Bld Auto,Platelet distribution width [Entitic volume] in Blood by Automated count,HEM/BC,1233
25386-4,Creat Fld-mCnc,Creatinine [Moles/volume] in Body fluid,Chem,1234
3174-0,AT III PPP Chro-aCnc,Antithrombin [Units/volume] in Platelet poor plasma by Chromogenic method,COAG,1235
33393-0,Coarse Gran Casts #/area UrnS LPF,Coarse Granular Casts [#/area] in Urine sediment by Microscopy low power field,UA,1236
9490-4,A flavus Ab Ser Ql,Aspergillus flavus Ab [Presence] in Serum,MICRO,1237
26447-3,Blasts NFr CSF,Blasts/100 leukocytes in Cerebral spinal fluid,HEM/BC,1238
8095-2,Smooth muscle Ab Titr Ser,Smooth muscle Ab [Titer] in Serum,SERO,1239
14712-4,Epineph 24H Ur-mRate,Epinephrine [Moles/time] in 24 hour Urine,Chem,1240
6136-6,Hazelnut IgE Qn,Hazelnut IgE Ab [Units/volume] in Serum,Allergy,1241
9660-2,HIV1 gp160 Ab Ser Ql IB,HIV 1 gp160 Ab [Presence] in Serum by Immunoblot (IB),MICRO,1242
2873-8,Gamma glob CSF Elph-mCnc,Gamma globulin [Mass/volume] in Cerebral spinal fluid by Electrophoresis,Chem,1243
9668-5,HIV1 p55 Ab Ser Ql IB,HIV 1 p55 Ab [Presence] in Serum by Immunoblot (IB),MICRO,1244
9667-7,HIV1 p51 Ab Ser Ql IB,HIV 1 p51 Ab [Presence] in Serum by Immunoblot (IB),MICRO,1245
24469-9,Hgb XXX MFr Bld Elph,Hemoglobin XXX/Hemoglobin.total in Blood by Electrophoresis,HEM/BC,1246
771-6,nRBC # Bld Auto,Nucleated erythrocytes [#/volume] in Blood by Automated count,HEM/BC,1247
9664-4,HIV1 p24 Ab Ser Ql IB,HIV 1 p24 Ab [Presence] in Serum by Immunoblot (IB),MICRO,1248
9661-0,HIV1 gp120 Ab Ser Ql IB,HIV 1 gp120 Ab [Presence] in Serum by Immunoblot (IB),MICRO,1249
9666-9,HIV1 p31 Ab Ser Ql IB,HIV 1 p31 Ab [Presence] in Serum by Immunoblot (IB),MICRO,1250
11070-0,Cyto Ur,Microscopic observation [Identifier] in Urine by Cyto stain,CYTO,1251
14650-6,Citrate 24H Ur-mRate,Citrate [Moles/time] in 24 hour Urine,Chem,1252
14603-5,Androst SerPl-mCnc,Androstenedione [Moles/volume] in Serum or Plasma,Chem,1253
13993-1,Alpha2 Glob MFr Ur Elph,Alpha 2 globulin/Protein.total in Urine by Electrophoresis,Chem,1254
5785-1,Eosinophil #/area UrnS HPF,Eosinophils [#/area] in Urine sediment by Microscopy high power field,UA,1255
13995-6,Gamma glob MFr Ur Elph,Gamma globulin/Protein.total in Urine by Electrophoresis,Chem,1256
14854-4,Norepineph 24H Ur-mRate,Norepinephrine [Moles/time] in 24 hour Urine,Chem,1257
5354-6,ENA SS-B Ab Ser Ql ID,Sjogrens syndrome-B extractable nuclear Ab [Presence] in Serum by Immune diffusion (ID),SERO,1258
85991-8,S pneum Da 14 IgG Ser-mCnc,Streptococcus pneumoniae Danish serotype 14 IgG Ab [Mass/volume] in Serum,MICRO,1259
85992-6,S pneum Da 14 IgG Ser IA-mCnc,Streptococcus pneumoniae Danish serotype 14 IgG Ab [Mass/volume] in Serum by Immunoassay,MICRO,1260
1869-7,Apo A-I SerPl-mCnc,Apolipoprotein A-I [Mass/volume] in Serum or Plasma,Chem,1261
33332-8,Linezolid Islt Grad Strip,Linezolid [Susceptibility] by Gradient strip,ABXBACT,1262
5352-0,ENA SS-A Ab Ser Ql ID,Sjogrens syndrome-A extractable nuclear Ab [Presence] in Serum by Immune diffusion (ID),SERO,1263
2640-1,Myoglobin Ur Ql,Myoglobin [Presence] in Urine,Chem,1264
2998-3,Vit B1 Bld-mCnc,Thiamine [Mass/volume] in Blood,Chem,1265
38544-3,Sperm Pre Wash # Smn,Spermatozoa [#/volume] in Semen --pre washing,FERT,1266
38540-1,Sperm Motile Pre Wash NFr Smn,Spermatozoa Motile/100 spermatozoa in Semen --pre washing,FERT,1267
3746-5,Meperidine Ur Ql,Meperidine [Presence] in Urine,DRUG/TOX,1268
12195-4,Creat Cl/1.73 sq M 24H Ur+SerPl-ArVRat,Creatinine renal clearance/1.73 sq M in 24 hour,Chem,1269
15059-9,Dopamine 24H Ur-mRate,Dopamine [Moles/time] in 24 hour Urine,Chem,1270
11140-1,Metaneph 24H Ur-mRate,Metanephrine [Moles/time] in 24 hour Urine,Chem,1271
28643-5,SaO2% BldCoV,Oxygen saturation in Venous cord blood,Chem,1272
5057-5,B dermat Ab Titr Ser CF,Blastomyces dermatitidis Ab [Titer] in Serum by Complement fixation,MICRO,1273
6092-1,Crab IgE Qn,Crab IgE Ab [Units/volume] in Serum,Allergy,1274
13926-1,GAD65 Ab Ser-aCnc,Glutamate decarboxylase 65 Ab [Units/volume] in Serum,SERO,1275
2513-0,Ketones SerPl Ql,Ketones [Presence] in Serum or Plasma,Chem,1276
2518-9,Lactate BldA-sCnc,Lactate [Moles/volume] in Arterial blood,Chem,1277
6007-9,Prot C PPP-aCnc,Protein C [Units/volume] in Platelet poor plasma by Coagulation assay,COAG,1278
14708-2,Endomysium Ab Titr Ser,Endomysium Ab [Titer] in Serum,SERO,1279
7984-8,B19V IgM Ser-aCnc,Parvovirus B19 IgM Ab [Units/volume] in Serum,MICRO,1280
11039-5,CRP SerPl Ql,C reactive protein [Presence] in Serum or Plasma,Chem,1281
32680-1,Fine Gran Casts #/area UrnS LPF,Fine Granular Casts [#/area] in Urine sediment by Microscopy low power field,UA,1282
30340-4,EBV VCA IgM Ser Ql,Epstein Barr virus capsid IgM Ab [Presence] in Serum,MICRO,1283
24115-8,EBV VCA IgM Ser Ql EIA,Epstein Barr virus capsid IgM Ab [Presence] in Serum by Immunoassay,MICRO,1284
28642-7,SaO2% BldCoA,Oxygen saturation in Arterial cord blood,Chem,1285
25489-6,Normetanephrine SerPl-sCnc,Normetanephrine [Moles/volume] in Serum or Plasma,Chem,1286
19942-2,Gas flow.O2 setting Oxymiser,Oxygen gas flow setting Oxymizer,PULM,1287
18319-4,Neuts Vac Bld Ql Smear,Neutrophils.vacuolated [Presence] in Blood by Light microscopy,HEM/BC,1288
15530-9,A alternata IgE RAST Ql,Alternaria alternata IgE Ab RAST class in Serum,Allergy,1289
3256-5,Fibrinogen Ag PPP Imm-mCnc,Fibrinogen Ag [Mass/volume] in Platelet poor plasma by Immunologic method,COAG,1290
35789-7,Daptomycin Susc Islt,Daptomycin [Susceptibility],ABXBACT,1291
21365-2,Leptin SerPl-mCnc,Leptin [Mass/volume] in Serum or Plasma,Chem,1292
21441-1,HPV Low Risk DNA Cervix Ql Prb,Human papilloma virus 6+11+42+43+44 DNA [Presence] in Cervix by DNA probe,MICRO,1293
14956-7,Microalbumin 24H Ur-mRate,Microalbumin [Mass/time] in 24 hour Urine,Chem,1294
14935-1,Urate 24H Ur-mRate,Urate [Moles/time] in 24 hour Urine,Chem,1295
5863-6,FLUAV Ag XXX Ql IF,Influenza virus A Ag [Presence] in Unspecified specimen by Immunofluorescence,MICRO,1296
34524-9,Neuts Band Bld Ql Auto,Neutrophils.band form [Presence] in Blood by Automated count,HEM/BC,1297
23841-0,B-HCG adj MoM SerPl,Choriogonadotropin.beta subunit [Multiple of the median] adjusted in Serum or Plasma,Chem,1298
1857-2,ACE Bld-cCnc,Angiotensin converting enzyme [Enzymatic activity/volume] in Blood,Chem,1299
31797-4,CMV Ag XXX Ql,Cytomegalovirus Ag [Presence] in Unspecified specimen,MICRO,1300
6379-2,CMV Ag XXX Ql EIA,Cytomegalovirus Ag [Presence] in Unspecified specimen by Immunoassay,MICRO,1301
16264-4,COM Cry Stone Ql IR,Calcium oxalate monohydrate crystals [Presence] in Stone by Infrared spectroscopy,Chem,1302
49542-4,Pheresis Date&Time,Date and time of pheresis procedure,BLDBK,1303
30339-6,EBV VCA IgG Ser Ql,Epstein Barr virus capsid IgG Ab [Presence] in Serum,MICRO,1304
24114-1,EBV VCA IgG Ser Ql EIA,Epstein Barr virus capsid IgG Ab [Presence] in Serum by Immunoassay,MICRO,1305
32554-8,Vit B1 Bld-sCnc,Thiamine [Moles/volume] in Blood,Chem,1306
14316-4,Benzodiaz Ur Ql Scn,Benzodiazepines [Presence] in Urine by Screen method,DRUG/TOX,1307
9796-4,Color Stone,Color of Stone,SPEC,1308
9802-0,Size Stone,Size [Entitic volume] of Stone,PATH,1309
2428-1,Homocysteine SerPl-mCnc,Homocysteine [Mass/volume] in Serum or Plasma,Chem,1310
35538-8,Baker's yeast IgG-mCnc,Baker's yeast IgG Ab [Mass/volume] in Serum,Allergy,1311
48050-9,Neutrophils Stl Ql Wright Stn,Neutrophils [Presence] in Stool by Wright stain,HEM/BC,1312
20593-0,CD19 Cells NFr XXX,CD19 cells/100 cells in Unspecified specimen,CELLMARK,1313
25170-2,Mercury Bld-mCnc,Mercury [Moles/volume] in Blood,DRUG/TOX,1314
2605-4,Meat Fibers Stl Ql Micro,Meat fibers [Presence] in Stool by Light microscopy,Chem,1315
730-2,WBC Other NFr Bld Manual,Leukocytes other/100 leukocytes in Blood by Manual count,HEM/BC,1316
8249-5,Trans Cells UrnS Ql Micro,Transitional cells [Presence] in Urine sediment by Light microscopy,UA,1317
30427-9,Macrophages NFr Fld,Macrophages/100 leukocytes in Body fluid,HEM/BC,1318
19835-8,Breaths setting SIMV,Breath rate setting Ventilator synchronized intermittent mandatory,PULM,1319
27395-3,S pneum Da 18C IgG Ser-mCnc,Streptococcus pneumoniae Danish serotype 18C IgG Ab [Mass/volume] in Serum,MICRO,1320
40913-6,S pneum Da 18C IgG Ser IA-mCnc,Streptococcus pneumoniae Danish serotype 18C IgG Ab [Mass/volume] in Serum by Immunoassay,MICRO,1321
15212-4,Lipase Fld-cCnc,Lipase [Enzymatic activity/volume] in Body fluid,Chem,1322
3507-1,Codeine Ur Ql,Codeine [Presence] in Urine,DRUG/TOX,1323
86024-7,S pneum Da sero 19F IgG Ser-mCnc,Streptococcus pneumoniae Danish serotype 19F IgG Ab [Mass/volume] in Serum,MICRO,1324
86021-3,S pneum Da sero 19F IgG Ser IA-mCnc,Streptococcus pneumoniae Danish serotype 19F IgG Ab [Mass/volume] in Serum by Immunoassay,MICRO,1325
86064-3,S pneum Da 23F IgG Ser-mCnc,Streptococcus pneumoniae Danish serotype 23F IgG Ab [Mass/volume] in Serum,MICRO,1326
86061-9,S pneum Da 23F IgG Ser IA-mCnc,Streptococcus pneumoniae Danish serotype 23F IgG Ab [Mass/volume] in Serum by Immunoassay,MICRO,1327
86107-0,S pneum Da 4 IgG Ser-mCnc,Streptococcus pneumoniae Danish serotype 4 IgG Ab [Mass/volume] in Serum,MICRO,1328
86108-8,S pneum Da 4 IgG Ser IA-mCnc,Streptococcus pneumoniae Danish serotype 4 IgG Ab [Mass/volume] in Serum by Immunoassay,MICRO,1329
4575-7,Hgb E MFr Bld,Hemoglobin E/Hemoglobin.total in Blood,HEM/BC,1330
30153-1,S pneum Da 9V IgG Ser-mCnc,Streptococcus pneumoniae Danish serotype 9V IgG Ab [Mass/volume] in Serum,MICRO,1331
40926-8,S pneum Da 9V IgG Ser IA-mCnc,Streptococcus pneumoniae Danish serotype 9V IgG Ab [Mass/volume] in Serum by Immunoassay,MICRO,1332
35127-0,Hgb A2.prime MFr Bld,Hemoglobin A2.prime/Hemoglobin.total in Blood,HEM/BC,1333
31156-3,Hgb Barts MFr Bld,Hemoglobin Barts/Hemoglobin.total in Blood,HEM/BC,1334
4569-0,Hgb D MFr Bld,Hemoglobin D/Hemoglobin.total in Blood,HEM/BC,1335
33593-5,Hgb G-Coush MFr Bld,Hemoglobin G - Coushatta/Hemoglobin.total in Blood,HEM/BC,1336
35125-4,Hgb Lepore MFr Bld,Hemoglobin Lepore/Hemoglobin.total in Blood,HEM/BC,1337
35126-2,Hgb O-Arab MFr Bld,Hemoglobin O - Arab/Hemoglobin.total in Blood,HEM/BC,1338
13986-5,Albumin 24H MFr Ur Elph,Albumin/Protein.total in 24 hour Urine by Electrophoresis,Chem,1339
6165-5,Lobster IgE Qn,Lobster IgE Ab [Units/volume] in Serum,Allergy,1340
21709-1,MTHFR gene Mut Anal Bld/T,MTHFR gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,MOLPATH.MUT,1341
14833-8,MetanephS 24H Ur-mRate,Metanephrines [Moles/time] in 24 hour Urine,Chem,1344
13984-0,Alpha1 Glob 24H MFr Ur Elph,Alpha 1 globulin/Protein.total in 24 hour Urine by Electrophoresis,Chem,1346
38415-6,MTHFR gene Mut Anal Bld/T,MTHFR gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative,MOLPATH.MUT,1347
42484-6,M Protein 24H MFr Ur Elph,Protein.monoclonal/Protein.total in 24 hour Urine by Electrophoresis,Chem,1348
10863-9,Endomysium IgA Titr Ser,Endomysium IgA Ab [Titer] in Serum,SERO,1349
3830-7,Morphine Ur Ql,Morphine [Presence] in Urine,DRUG/TOX,1350
14947-6,VMA 24H Ur-mRate,Vanillylmandelate [Moles/time] in 24 hour Urine,Chem,1351
14835-3,Methanol SerPl-mCnc,Methanol [Moles/volume] in Serum or Plasma,DRUG/TOX,1352
13499-9,HIV1 Ab Patrn Ser IB-Imp,HIV 1 Ab band pattern [interpretation] in Serum by Immunoblot (IB),MICRO,1353
49540-8,Acid citrate dextrose Vol BPU,Acid citrate dextrose [Volume] in Blood product unit,BLDBK,1354
5292-8,VDRL Ser Ql,Reagin Ab [Presence] in Serum by VDRL,MICRO,1355
31102-7,Prot S Act/Nor PPP Chro,Protein S actual/normal in Platelet poor plasma by Chromogenic method,COAG,1356
25157-9,Epith Casts UrnS Ql Micro,Epithelial casts [Presence] in Urine sediment by Light microscopy,UA,1357
33333-6,Colistin Islt Grad Strip,Colistin [Susceptibility] by Gradient strip,ABXBACT,1358
71790-0,Calcium ?Tm Ur-mCnc,Calcium [Moles/volume] in unspecified time Urine,Chem,1359
588-4,L pneumo Ag XXX Ql IF,Legionella pneumophila Ag [Presence] in Unspecified specimen by Immunofluorescence,MICRO,1360
8150-5,Amphetamines Ur-mCnc,Amphetamines [Mass/volume] in Urine,DRUG/TOX,1361
40287-5,Glucose 1H p meal SerPl-mCnc,Glucose [Moles/volume] in Serum or Plasma --1 hour post meal,CHAL,1362
17607-3,Specimen vol CSF,Volume of Cerebral spinal fluid,SPEC,1363
43583-4,LPa SerPl-sCnc,Lipoprotein a [Moles/volume] in Serum or Plasma,Chem,1364
52956-0,Barbiturates Ur-mCnc,Barbiturates [Moles/volume] in Urine,DRUG/TOX,1365
10704-5,O and P Prep Stl,Ova and parasites identified in Stool by Light microscopy,MICRO,1366
52955-2,Benzodiaz Ur-sCnc,Benzodiazepines [Moles/volume] in Urine,DRUG/TOX,1367
9428-4,Benzodiaz Ur-mCnc,Benzodiazepines [Mass/volume] in Urine,DRUG/TOX,1367
31032-6,Baker's yeast IgA Qn,Baker's yeast IgA Ab [Units/volume] in Serum,Allergy,1368
47320-7,Baker's yeast IgA Qn EIA,Baker's yeast IgA Ab [Units/volume] in Serum by Immunoassay,ALLERGY,1369
22086-3,A niger Ab Ser Ql,Aspergillus niger Ab [Presence] in Serum,MICRO,1370
6164-8,Virg Live Oak IgE Qn,Virginia Live Oak IgE Ab [Units/volume] in Serum,Allergy,1371
33915-0,Anabasine Ur-mCnc,Anabasine [Mass/volume] in Urine,DRUG/TOX,1372
13358-7,Collect Tme Smn,Collection time of Semen,SPEC,1373
25507-5,Preg SerPl-mCnc,Pregnenolone [Moles/volume] in Serum or Plasma,Chem,1374
